category,session,question_text,option1,option2,option3,option4,correct_answer
Express JS and Node JS,1,One of Node.js's key strengths is its:,"Blocking, synchronous I/O model","Event-driven, non-blocking I/O model",Reliance on a graphical interface,Built-in relational database,"Event-driven, non-blocking I/O model"
Express JS and Node JS,1,Node.js's ecosystem of modules and packages is managed through:,The Node Package Manager (NPM),Git,MongoDB Compass,Express Router,The Node Package Manager (NPM)
Express JS and Node JS,1,Node.js's cross-platform capability means it can run on:,Only Windows,Only macOS,"Windows, macOS, and Linux",Only Linux servers,"Windows, macOS, and Linux"
Express JS and Node JS,1,Node.js is often the preferred choice for building which type of applications?,Static brochure websites only,"Collaborative tools, gaming servers, and chat applications",Only mobile games,Only desktop applications,"Collaborative tools, gaming servers, and chat applications"
Express JS and Node JS,1,Why can developers use the same language for both front-end and back-end development in a MERN-type stack?,Because Node.js allows JavaScript to run on the server side,Because MongoDB compiles Python code,Because Express replaces JavaScript with Java,Because ReactJS runs only on the server,Because Node.js allows JavaScript to run on the server side
Express JS and Node JS,1,Express is best described as:,A NoSQL database,A fast, minimal, and flexible Node.js Web application framework,A front-end JavaScript library,A version control system,"A fast, minimal, and flexible Node.js Web application framework"
Express JS and Node JS,1,Express simplifies the task of building which of the following?,"APIs, Web servers, and other back-end functionalities",Only CSS stylesheets,Only static HTML pages,Only image files,"APIs, Web servers, and other back-end functionalities"
Express JS and Node JS,1,In Express, functions that execute before or after processing a request are called:,Components,Middleware,Reducers,Hooks,Middleware
Express JS and Node JS,1,What is the main benefit of Express middleware?,It removes the need for routing,It simplifies code organization and facilitates the use of third-party functionality,It replaces the need for a database,It prevents the use of APIs,It simplifies code organization and facilitates the use of third-party functionality
Express JS and Node JS,1,In Express, routing involves developers defining URL paths and associating them with specific:,CSS classes,"HTTP methods such as GET, POST, PUT, DELETE",Database schemas,React components only,"HTTP methods such as GET, POST, PUT, DELETE"
Express JS and Node JS,1,Which of the following are examples of template engines used with Express for dynamic server-side HTML rendering?,"EJS, Pug, and Handlebars","React, Angular, Vue","MongoDB, MySQL, PostgreSQL","Git, SVN, Mercurial","EJS, Pug, and Handlebars"
Express JS and Node JS,1,Express's popularity among Node.js developers for building Web applications and RESTful APIs largely stems from its:,High cost and complexity,"Extensive and active community, comprehensive documentation, and wide array of plugins",Requirement to use only one database,Lack of community support,"Extensive and active community, comprehensive documentation, and wide array of plugins"
Express JS and Node JS,1,MongoDB is best described as:,A relational database management system,An open-source NoSQL database purpose-built for unstructured and semi-structured data,A front-end JavaScript framework,A Web server framework,An open-source NoSQL database purpose-built for unstructured and semi-structured data
Express JS and Node JS,1,In MongoDB, data is organized into documents that resemble:,Spreadsheets,JSON-like structures,XML schemas only,CSV files,JSON-like structures
Express JS and Node JS,1,"What does ""schema-free"" (schema-less) mean in the context of MongoDB?",Data must follow a rigid, predefined structure,"Fields can vary among documents within the same collection, offering flexible data modeling",MongoDB cannot store any data,Every document must have identical fields,"Fields can vary among documents within the same collection, offering flexible data modeling"
Express JS and Node JS,1,"What are ""ad hoc queries"" in MongoDB?",Queries that require predefined schemas or joins,Dynamic and complex searches on data that eliminate the need for predefined schemas or joins,Queries that only work with relational databases,Backup procedures for MongoDB,Dynamic and complex searches on data that eliminate the need for predefined schemas or joins
Express JS and Node JS,1,MongoDB achieves horizontal scaling across multiple servers or nodes through a process called:,Sharding,Compiling,Rendering,Bundling,Sharding
Express JS and Node JS,1,Which MongoDB feature enhances the speed and efficiency of query operations on large datasets?,Indexing,GridFS,Templating,Routing,Indexing
Express JS and Node JS,1,MongoDB's Aggregation Framework is primarily used for:,User authentication,"Data aggregation, transformation, and analysis",Front-end rendering,Version control,"Data aggregation, transformation, and analysis"
Express JS and Node JS,1,Automatic failover and replication in MongoDB primarily ensure:,Faster CSS rendering,High availability and data redundancy in the event of server failures,Reduced need for indexing,Simplified JSX syntax,High availability and data redundancy in the event of server failures
Express JS and Node JS,1,Which MongoDB feature is specifically designed for efficiently storing and retrieving large files such as images, videos, and audio?,GridFS,Aggregation Framework,Ad hoc queries,Sharding,GridFS
Express JS and Node JS,1,MongoDB's support for geospatial indexing and queries makes it particularly well-suited for:,Location-based applications,Text-only applications,Applications that don't require a database,Only desktop applications,Location-based applications
Express JS and Node JS,1,In the three-tier MongoDB architecture, which layer houses the actual data, typically hosted in MongoDB Atlas?,Presentation Layer,Application Layer,Data (Database) Layer,Client Layer,Data (Database) Layer
Express JS and Node JS,1,Which layer in the MongoDB three-tier architecture interacts with the database and typically corresponds to the API, often built using Node.js?,Data Layer,Application Layer,Presentation Layer,Storage Layer,Application Layer
Express JS and Node JS,1,The Presentation Layer in the three-tier architecture corresponds to:,The database storage engine,The JavaScript front-end (e.g. React or Angular) where users interact with the application UI,The server's operating system,The version control repository,The JavaScript front-end (e.g. React or Angular) where users interact with the application UI
Express JS and Node JS,1,In the three-tier MongoDB architecture diagram, which component connects the back-end server to the database?,Presentation Layer,MongoDB Drivers within the Application Layer,Client browsers,The Express router only,MongoDB Drivers within the Application Layer
